term,snippet,lead_paragraph,abstract,source,print_page,headline__main,headline__print_headline,pub_date,news_desk,section_name,document_type,web_url,type_of_material,word_count,_id
Oil Price,With a 20 percent price surge in less than three months  members of the oil cartel must decide whether to extend production cuts.,,,The New York Times,6,OPEC Leader Cites ‘New Optimism’ With Oil Prices on the Rise,With Oil Prices Climbing  OPEC’s Leader Cites Producers’ ‘New Optimism’,2017-11-28T19:00:28+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/11/28/business/energy-environment/opec-oil-prices.html,News,,5a1db25d95d0e0246f218fc9
Oil Price,The Kurdish vote for independence in Iraq is the latest geopolitical crisis to affect a market already weighing the impact of possible new sanctions on Iran.,,,The New York Times,,Are the Days of Low Oil Prices Receding?,,2017-10-16T15:12:53+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/10/16/business/energy-environment/iraq-oil-kirkuk.html,News,,59e4cc8195d0e0246f2104eb
Oil Price,Over the last two and a half years  the oil industry experienced its deepest downturn since at least the 1990s.,,,The New York Times,,Oil Prices: What to Make of the Volatility,,2017-05-15T13:28:19+0000,Business Day,Energy & Environment ,multimedia,https://www.nytimes.com/interactive/2017/business/energy-environment/oil-prices.html,Interactive Feature,,5919acf195d0e024b5870e07
Oil Price,The industry often resisted introducing new technology in producing oil  but it is learning that it’s a path to saving big money.,,,International New York Times,,Oil Firms Learn to Move an Ancient Product With New-Age Tech,Moving an ancient product with new-age tech,2017-10-14T10:00:28+0000,SpecialSections,Energy & Environment ,article,https://www.nytimes.com/2017/10/14/business/energy-environment/oil-firms-learn-to-move-an-ancient-product-with-new-age-tech.html,News,,59e1e04c95d0e0246f210074
Oil Price,A decline of 9 percent in the per-barrel price since Tuesday  to below $50  reflects an increase in inventories. Still  analysts said they expected prices to bounce back.,,,The New York Times,2,Oil Price Drop Triggers a ‘Herd Mentality’ of Selling,Traders React to Sudden Drop in Oil Prices With a ‘Herd Mentality’ of Selling,2017-03-10T22:49:45+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/03/10/business/energy-environment/oil-price-drop-opec.html,News,,58c32d9195d0e024902fec79
Oil Price,With dwindling reserves and political turmoil  the government is juggling assets and leaning on its American subsidiary  Citgo  to meet payment needs.,,,The New York Times,1,Venezuela Staves Off Default  but Low Oil Prices Pose a Threat,Cheap Oil Threatens Venezuela Solvency,2017-04-12T14:42:06+0000,Business,,article,https://www.nytimes.com/2017/04/12/business/venezuela-oil-debt-payment.html,News,,58ee448b95d0e024b586b0d8
Oil Price,Robert Trice is pursuing his quixotic 12-year quest to prove that undiscovered troves of oil still lie in British waters  if you just know where to look.,,,International New York Times,,A Geologist Bets on a North Sea Gusher That May Never Come,A big bet on an elusive gusher,2017-10-15T10:00:15+0000,SpecialSections,Energy & Environment ,article,https://www.nytimes.com/2017/10/15/business/energy-environment/hurricane-energy-robert-trice-drill.html,News,,59e331b795d0e0246f210202
Oil Price,Rising oil prices seem like a positive sign for the energy industry  but global political disruptions cloud the future.,,,International New York Times,,The Energy Industry Plots a Complex Path in the Midst of Disruption,Energy’s complex path,2017-10-17T09:00:30+0000,SpecialSections,Energy & Environment ,article,https://www.nytimes.com/2017/10/17/business/energy-environment/future-of-energy-industry.html,News,,59e5c6ca95d0e0246f210706
Oil Price,The United States was supposed to be a L.N.G. importer  but plentiful shipments from Texas and Louisiana have changed the dynamic.,,,The New York Times,3,Boom in American Liquefied Natural Gas Is Shaking Up the Energy World,U.S. Boom in Natural Gas Could Ripple From the Arctic to Africa,2017-10-16T09:00:26+0000,SpecialSections,Energy & Environment ,article,https://www.nytimes.com/2017/10/16/business/energy-environment/liquified-natural-gas-world-markets.html,News,,59e4753a95d0e0246f2103d6
Oil Price,The Times asked some of the participants of the 38th annual Oil & Money Conference to describe what the industry is facing.,,,International New York Times,,The Challenges for the Energy Industry,The challenges for the energy industry,2017-10-15T10:00:14+0000,SpecialSections,Energy & Environment ,article,https://www.nytimes.com/2017/10/15/business/energy-environment/challenges-for-the-energy-industry.html,News,,59e331b695d0e0246f210201
Oil Price,Absolute dependence on oil and gas has turned political infighting into a winner-take-all contest.,,,International New York Times,,How to Save Libya From Itself? Protect Its Oil From Its Politics,Libya and another oil curse,2017-06-19T11:58:30+0000,OpEd,,article,https://www.nytimes.com/2017/06/19/opinion/libya-and-another-oil-curse.html,Op-Ed,,5947bc6e95d0e024b5878ccd
Oil Price,New data published by OPEC shows its members are largely sticking to an agreement to limit production. But questions remain about whether they can hold together.,,,The New York Times,3,Oil Producers Comply With OPEC Deal to Cut Output  but for How Long?,OPEC Deal to Cut Production Is Lifting Oil Prices. Can It Last?,2017-02-13T14:12:26+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/02/13/business/energy-environment/opec-oil-energy-cuts.html,News,,58a1bed295d0e0247463621b
Oil Price,The unlikely scene-stealer in a documentary about the 1966 opening of the Metropolitan Opera House at Lincoln Center reflects on the film and her career.,,,The New York Times,8,Leontyne Price  Legendary Diva  Is a Movie Star at 90,From Diva to Unlikely Movie Star  at 90,2017-12-22T12:00:30+0000,Arts&Leisure,Music,article,https://www.nytimes.com/2017/12/22/arts/music/leontyne-price-met-opera.html,News,,5a3cf3e895d0e0246f21dcab
Oil Price,The company opened a plant to export L.N.G. from the United States and will open a second in 2019 — for a combined price tag of $30 billion.,,,International New York Times,,How Cheniere Energy Decided to Take a Gamble on Liquified Natural Gas,Gamble on liquefied gas pays off for Houston firm,2017-10-16T09:00:27+0000,SpecialSections,Energy & Environment ,article,https://www.nytimes.com/2017/10/16/business/energy-environment/cheniere-energy-liquified-natural-gas.html,News,,59e4753a95d0e0246f2103d3
