term,snippet,lead_paragraph,abstract,source,print_page,headline__main,headline__print_headline,pub_date,news_desk,section_name,document_type,web_url,type_of_material,word_count,_id
Oil Price,Stocks recouped some losses as traders bought energy stocks  which rose on a spike in oil prices because markets feared supply interruptions from the Middle East.,,Stocks rise  with energy shares rallying on higher oil prices as United States and its allies come closer to military action against Syria.,The New York Times,8,Energy Shares Bounce Back On Higher Oil Prices,Energy Shares Bounce Back On Higher Oil Prices,2013-08-29T00:00:00Z,Business,,article,https://www.nytimes.com/2013/08/29/business/daily-stock-market-activity.html,News,,5220d7e738f0d8740ac9c560
Oil Price,Investors were relieved that Syria said it was ready to cooperate with a proposal to put its chemical weapons under international control.,,Stock market rises and oil prices fall as prospect that United States would attack Syria appears to fade.,The New York Times,3,Shares Gain and Oil Prices Slip on Hopes of Averting U.S. Strike in Syria,Shares Gain and Oil Prices Slip on Hopes of Averting U.S. Strike in Syria,2013-09-11T00:00:00Z,Business,,article,https://www.nytimes.com/2013/09/11/business/daily-stock-market-activity.html,News,,522f285938f0d8740ac9edc9
Oil Price,The European Commission is said to have continued to question BP  Royal Dutch Shell and Statoil about their trading activities.,,European Commission ramps up its inquiry into potential manipulation of oil and biofuel prices  as investigators continue to question BP  Royal Dutch Shell and Statoil about their trading activities.,The New York Times,3,Inquiry on Potential Oil Price Manipulation Intensifies,Inquiry on Potential Oil Price Manipulation Intensifies,2013-05-16T00:00:00Z,Business,Global Business,article,https://www.nytimes.com/2013/05/16/business/global/inquiry-on-potential-oil-price-manipulation-intensifies-in-europe.html,News,,519429f140e9ec457e2a18c0
Oil Price,Investigators are looking into whether BP  Shell and Platts may have “colluded” in an effort to manipulate the prices of oil products.,,Authorities raid offices of several oil companies in London  as well as industry service provider  part of broader inquiry by European Commission into potential price manipulation; investigators are looking into whether BP  Shell and Platts may have colluded on price-fixing scheme.,The New York Times,3,Europe Raids 3 Companies in an Inquiry on Oil Prices,Europe Raids 3 Companies In an Inquiry On Oil Prices,2013-05-15T00:00:00Z,Business,Global Business,article,https://www.nytimes.com/2013/05/15/business/global/europe-raids-oil-companies-in-price-manipulation-inquiry.html,News,,51929ded40e9ec457e2a1308
Oil Price,Chevron reported on Friday that its net income fell 4.5 percent in the first quarter  pushed lower by falling oil prices and a decline in refinery output.,,Chevron reports first-quarter net income of $6 2 billion  or $3.18 a share  down from $6.47 billion  or $3.27 a share  in same period one year earlier.,The New York Times,2,Slipping Oil Prices Weigh on Chevron’s Bottom Line,Slipping Oil Prices Weigh On Chevron’s Bottom Line,2013-04-27T00:00:00Z,Business,,article,https://www.nytimes.com/2013/04/27/business/slipping-oil-prices-weigh-on-chevrons-bottom-line.html,Brief,,517e8a91cf28d041ca000677
Oil Price,Problems in North Africa and the Middle East  where some governments owe many energy producers billions of dollars  are imperiling the relations between companies and countries.,,,International Herald Tribune,,As Stability Eludes Region  Western Oil Giants Hesitate,As Stability Eludes Region  Western Oil Giants Hesitate,2013-10-02T00:00:00Z,Business,Energy & Environment ,article,https://www.nytimes.com/2013/10/02/business/energy-environment/as-stability-eludes-region-western-oil-giants-hesitate.html,News,,524b132238f0d8198973f9f4
Oil Price,The United Arab Emirates  a key OPEC oil producer  is turning its easternmost member  Fujairah  into a new base for crude oil exports and other vital infrastructure.,,,International Herald Tribune,,Blessed by Geography  Fujairah Flexes New Clout,Blessed by Geography  a Tiny Emirate Flexes New Clout,2013-10-02T00:00:00Z,Business,Energy & Environment ,article,https://www.nytimes.com/2013/10/02/business/energy-environment/blessed-by-geography-fujairah-flexes-new-clout.html,News,,524b132038f0d8198973f9f2
Oil Price,Melting ice is expected to make the Arctic more accessible to drilling  mining and shipping  and Iceland is eager to position itself as a base for some of that activity.,,,International Herald Tribune,,Iceland Aims to Seize Opportunities in Oil Exploration,Iceland Aims to Seize Its Opportunity,2013-10-02T00:00:00Z,Business,Energy & Environment ,article,https://www.nytimes.com/2013/10/02/business/energy-environment/iceland-aims-to-seize-opportunities-in-oil-exploration.html,News,,524b132138f0d8198973f9f3
Oil Price,Although it has the world's largest technically recoverable reserves of shale gas  they are less accessible than elsewhere and the country's economy is not structured to exploit them quickly.,,,International Herald Tribune,,China Faces Steep Climb to Exploit Its Shale Riches,China Faces Steep Challenges With Its Ambitions for Shale,2013-10-01T00:00:00Z,Business,Energy & Environment ,article,https://www.nytimes.com/2013/10/01/business/energy-environment/china-faces-steep-climb-to-exploit-its-shale-riches.html,News,,524a147d38f0d8198973f728
Oil Price,The United States has both massive shale deposits  which it is extensively developing  and a large and flexible distribution network that could could supply terminals to export liquefied natural gas.,,,International Herald Tribune,,U.S. Gears Up to Be a Prime Gas Exporter,America Poised for Huge Rise in L.N.G. Exports,2013-10-01T00:00:00Z,Business,Energy & Environment ,article,https://www.nytimes.com/2013/10/01/business/energy-environment/us-gears-up-to-be-a-prime-gas-exporter.html,News,,524a2a7238f0d8198973f76b
Oil Price,A report by the International Energy Agency predicts that so-called light tight oil will peak around 2020  then plateau.,,International Energy Agency predicts that production of shale oil  or so-called light tight oil  in United States and worldwide will provide only temporary respite from reliance on Middle East oil; says growth of shale oil will peak around 2020  then plateau.,The New York Times,3,Shale’s Effect on Oil Supply Is Forecast to Be Brief,Shale’s Effect On Oil Supply Is Forecast To Be Brief,2013-11-13T00:00:00Z,Business,Energy & Environment ,article,https://www.nytimes.com/2013/11/13/business/energy-environment/shales-effect-on-oil-supply-is-not-expected-to-last.html,News,,5281fc2b38f0d81a0ace52ee
Oil Price,A bill to open the state-run oil industry to competition troubles many Mexicans -- but it is the right move to make.,,,The New York Times,,Mexico's Theology of Oil,Mexico's Theology of Oil,2013-11-01T00:00:00Z,Editorial,,article,https://www.nytimes.com/2013/11/01/opinion/krauze-mexicos-theology-of-oil.html,Op-Ed,,5272633f38f0d869cf22d7b2
Oil Price,The sale by Petrobras of its Peruvian subsidiary  Petrobras Energia Peru  to the China National Petroleum Company for $2.6 billion  is aimed at shoring up Petrobras’s balance sheet.,,The sale by Petrobras of its Peruvian subsidiary  Petrobras Energia Peru  to the China National Petroleum Company for $2.6 billion  is aimed at shoring up Petrobras’s balance sheet.,The New York Times,,Petrobras of Brazil Sells Peruvian Unit to Chinese Company,Raising Capital,2013-11-13T09:14:13Z,,Dealbook,blogpost,https://dealbook.nytimes.com/2013/11/13/brazilian-oil-company-sells-peruvian-subsidiary-to-chinese-company/,Blog,,52838a1b38f0d841c37d1126
Oil Price,The major producers face steady drops in profit margins as natural gas shifts the energy matrix.,,,International Herald Tribune,,An Uphill Climb for the Oil Giants,An Uphill Climb for the Oil Giants,2013-10-01T00:00:00Z,Business,Energy & Environment ,article,https://www.nytimes.com/2013/10/01/business/energy-environment/an-uphill-climb-for-the-oil-giants.html,An Analysis; News Analysis,,524a11bc38f0d8198973f722
Oil Price,The livelihood of a fishing community in Uran region of Maharashtra is affected by frequent oil spills  the latest one caused by a pipeline burst on Monday.,,The livelihood of a fishing community in Uran region of Maharashtra is affected by frequent oil spills  the latest one caused by a pipeline burst on Monday.,The New York Times,,Oil Spills Becoming Frequent Hazard for Fishermen Near Mumbai,,2013-10-10T10:39:19Z,,Asia Pacific,blogpost,https://india.blogs.nytimes.com/2013/10/10/oil-spills-becoming-frequent-hazard-for-fishermen-near-mumbai/,Blog,,5256bda638f0d8198974171b
Oil Price,Although Eni encountered setbacks in almost all of its business lines  net income rose and operating income beat analyst estimates.,,Italian oil company Eni reports adjusted third-quarter profit of 1.2 billion euros  down 29 percent from year-ago quarter.,The New York Times,8,Profit Surpasses Forecasts at Italian Oil Giant Eni,As Turmoil Continues  Eni Exceeds Forecasts,2013-10-31T00:00:00Z,Business,,article,https://www.nytimes.com/2013/10/31/business/profit-surpasses-forecasts-at-italian-oil-giant.html,News,,5270e56338f0d83b1c1398ef
Oil Price,A little known market in ethanol credits arose after financial institutions amassed millions of them — just as refiners were looking to buy more credits to meet an expanding federal requirement.,,,The New York Times,1,Wall St. Exploits Ethanol Credits  and Prices Spike,Wall St. Exploits Ethanol Credits  And Prices Spike,2013-09-15T02:00:21+0000,Business,,article,https://www.nytimes.com/2013/09/15/business/wall-st-exploits-ethanol-credits-and-prices-spike.html,News,,523514b638f0d81989737f57
Oil Price,Should OGX  the petroleum exploration and production company founded by the Brazilian entrepreneur Eike Batista  go into bankruptcy  it would be largest in Latin America’s history.,,Should OGX  the petroleum exploration and production company founded by the Brazilian entrepreneur Eike Batista  go into bankruptcy  it would be largest in Latin America’s history.,The New York Times,,Batista's Oil Firm Defaults on Interest Payment,An Oil Company Led by a Brazilian Mogul Takes a Step Closer to a Bankruptcy Filing,2013-10-01T10:49:14Z,,Dealbook,blogpost,https://dealbook.nytimes.com/2013/10/01/batistas-oil-firm-defaults-on-interest-payment/,Blog,,524ae1dc38f0d8198973f91b
Oil Price,The Consumer Price Index rose 0.5 percent in June  with two-thirds of the increase coming from a 6.3 percent jump in gas prices.,,Labor Dept reports that Consumer Price Index rose 0.5 percent in June  with two-thirds of the increase coming from a 6.3 percent jump in gas prices.,The New York Times,8,Gas Raises Consumer Prices  but Inflation Remains Tame,Gas Raises Consumer Prices  but Inflation Remains Tame,2013-07-17T00:00:00Z,Business,Economy,article,https://www.nytimes.com/2013/07/17/business/economy/gas-raises-consumer-prices-but-inflation-remains-tame.html,News,,51e5d9c77e0d9c0839d3026e
Oil Price,Some cash-starved African states are showing an assertiveness that suggests the days of China’s unbridled influence as a mega-investor may be waning.,,Several cash-starved African nations are pushing back against China as it seeks widespread access to their oil wealth  in some cases accusing China of greed or environmental negligence; show of assertiveness suggests that days of China’s unbridled influence as a mega-investor may be waning.,The New York Times,4,China Finds Resistance to Oil Deals in Africa,China Finds Resistance To Oil Deals In Africa,2013-09-18T00:00:00Z,Foreign,Africa,article,https://www.nytimes.com/2013/09/18/world/africa/china-finds-resistance-to-oil-deals-in-africa.html,News,,5238e39e38f0d81989738f19
Oil Price,As producers tap more oil and gas  transporting it becomes a bigger problem.,,North American shale boom has exposed shortcomings in America's transportation and infrastructure system as producers try to determine how to move product to market.,The New York Times,6,Unplugging Bottlenecks in Oil and Gas Deliveries,Unplugging Bottlenecks in Oil and Gas Deliveries,2013-10-09T00:00:00Z,Business,Energy & Environment ,article,https://www.nytimes.com/2013/10/09/business/energy-environment/unplugging-bottlenecks-in-oil-and-gas-deliveries.html,News,,52549ad138f0d81989741134
